,Filename,Average Ratings
0,AF1.jpg,4
1,AF10.jpg,6
2,AF100.jpg,5
3,AF1000.jpg,7
4,AF1001.jpg,7
5,AF1002.jpg,5
6,AF1003.jpg,5
7,AF1004.jpg,6
8,AF1005.jpg,4
9,AF1006.jpg,6
10,AF1007.jpg,5
11,AF1008.jpg,5
12,AF1009.jpg,7
13,AF101.jpg,4
14,AF1010.jpg,5
15,AF1011.jpg,6
16,AF1012.jpg,5
17,AF1013.jpg,7
18,AF1014.jpg,8
19,AF1015.jpg,7
20,AF1016.jpg,7
21,AF1017.jpg,7
22,AF1018.jpg,6
23,AF1019.jpg,4
24,AF102.jpg,5
25,AF1020.jpg,5
26,AF1021.jpg,5
27,AF1022.jpg,7
28,AF1023.jpg,6
29,AF1024.jpg,6
30,AF1025.jpg,3
31,AF1026.jpg,7
32,AF1027.jpg,7
33,AF1028.jpg,4
34,AF1029.jpg,7
35,AF103.jpg,5
36,AF1030.jpg,4
37,AF1031.jpg,8
38,AF1032.jpg,6
39,AF1033.jpg,4
40,AF1034.jpg,6
41,AF1035.jpg,7
42,AF1036.jpg,5
43,AF1037.jpg,4
44,AF1038.jpg,5
45,AF1039.jpg,8
46,AF104.jpg,5
47,AF1040.jpg,4
48,AF1041.jpg,4
49,AF1042.jpg,6
50,AF1043.jpg,5
51,AF1044.jpg,5
52,AF1045.jpg,7
53,AF1046.jpg,4
54,AF1047.jpg,7
55,AF1048.jpg,6
56,AF1049.jpg,5
57,AF105.jpg,8
58,AF1050.jpg,6
59,AF1051.jpg,5
60,AF1052.jpg,5
61,AF1053.jpg,5
62,AF1054.jpg,6
63,AF1055.jpg,6
64,AF1056.jpg,8
65,AF1057.jpg,6
66,AF1058.jpg,7
67,AF1059.jpg,6
68,AF106.jpg,6
69,AF1060.jpg,4
70,AF1061.jpg,5
71,AF1062.jpg,8
72,AF1063.jpg,8
73,AF1064.jpg,7
74,AF1065.jpg,7
75,AF1066.jpg,3
76,AF1067.jpg,5
77,AF1068.jpg,8
78,AF1069.jpg,6
79,AF107.jpg,3
80,AF1070.jpg,5
81,AF1071.jpg,6
82,AF1072.jpg,6
83,AF1073.jpg,5
84,AF1074.jpg,6
85,AF1075.jpg,7
86,AF1076.jpg,2
87,AF1077.jpg,6
88,AF1078.jpg,6
89,AF1079.jpg,5
90,AF108.jpg,5
91,AF1080.jpg,7
92,AF1081.jpg,5
93,AF1082.jpg,5
94,AF1083.jpg,8
95,AF1084.jpg,3
96,AF1085.jpg,4
97,AF1086.jpg,7
98,AF1087.jpg,5
99,AF1088.jpg,7
100,AF1089.jpg,4
101,AF109.jpg,4
102,AF1090.jpg,7
103,AF1091.jpg,5
104,AF1092.jpg,4
105,AF1093.jpg,7
106,AF1094.jpg,8
107,AF1095.jpg,5
108,AF1096.jpg,4
109,AF1097.jpg,4
110,AF1098.jpg,3
111,AF1099.jpg,8
112,AF11.jpg,4
113,AF110.jpg,6
114,AF1100.jpg,5
115,AF1101.jpg,7
116,AF1102.jpg,7
117,AF1103.jpg,6
118,AF1104.jpg,8
119,AF1105.jpg,3
120,AF1106.jpg,7
121,AF1107.jpg,8
122,AF1108.jpg,3
123,AF1109.jpg,7
124,AF111.jpg,5
125,AF1110.jpg,8
126,AF1111.jpg,4
127,AF1112.jpg,8
128,AF1113.jpg,6
129,AF1114.jpg,5
130,AF1115.jpg,8
131,AF1116.jpg,8
132,AF1117.jpg,3
133,AF1118.jpg,3
134,AF1119.jpg,5
135,AF112.jpg,5
136,AF1120.jpg,5
137,AF1121.jpg,3
138,AF1122.jpg,7
139,AF1123.jpg,5
140,AF1124.jpg,7
141,AF1125.jpg,5
142,AF1126.jpg,5
143,AF1127.jpg,5
144,AF1128.jpg,5
145,AF1129.jpg,8
146,AF113.jpg,6
147,AF1130.jpg,5
148,AF1131.jpg,6
149,AF1132.jpg,6
150,AF1133.jpg,6
151,AF1134.jpg,6
152,AF1135.jpg,6
153,AF1136.jpg,6
154,AF1137.jpg,5
155,AF1138.jpg,4
156,AF1139.jpg,5
157,AF114.jpg,5
158,AF1140.jpg,7
159,AF1141.jpg,6
160,AF1142.jpg,5
161,AF1143.jpg,3
162,AF1144.jpg,5
163,AF1145.jpg,4
164,AF1146.jpg,6
165,AF1147.jpg,7
166,AF1148.jpg,7
167,AF1149.jpg,7
168,AF115.jpg,5
169,AF1150.jpg,5
170,AF1151.jpg,4
171,AF1152.jpg,6
172,AF1153.jpg,6
173,AF1154.jpg,8
174,AF1155.jpg,5
